question,answer
What enables mountain goats to scale nearly vertical inclines?,"PhotoShop?
 Follow up: I'm genuinely surprised! Something else to see in person while traveling the world.
"
Has David Fincher won an Oscar for the best director?,"David Fincher was nominated for an Academy Award twice: In 2009 for Curious Case Of Benjamin Button and in 2011 for Social Network (he won a Golden Globe for that one), but no Oscar - yet.
Chances are good with his black & white attempt on classic Hollywood: MANK (Mankiewicz, the screenwriter of Orson Welles’ iconic masterpiece Citizen Cane)
"
What is the most dangerous place on Earth?,"US apex consumers.
"
What is the color code for 52M ohm?,"5 green
 2 red
 ×10^6 blue
"
"How much table salt, in weight, do you have to dissolve in water to make soup just right?","Not much. I would estimate that about a gram per liter is a great plenty.
 As for being “just right”, well, taste is a subjective thing. You will just have to slowly add small increments, and taste it until you like it.
"
"How can matter be completely destroyed from existence? Someone told me that if we hit the proton with its antimatter, it would go away? Does it expire or turn into energy? Which one is real?","When particles of matter and anti-matter interact they evaporate into dark matter. The physical effects caused by the evaporation is energy. Mass is conserved.
"
Do you have any advice for middle schoolers who want to become doctors?,"Middle-schoolers?? Seriously?? Why don’t you just worry about learning, having fun, playing sports, etc, rather than something that might happen 8–10 years from now.
"
Do people in Portugal and the United States know that the actor Carlton from the show “Fresh Prince” is ethnic Portuguese?,"Born in the Bronx. He’s American.
"
What will be the change in the expected cutoff of the SSC CGL 2019 as compared to the SSc CGL 2018 as there are less vacancies this time?,"I think vacancy will increase because some departments(cag auditor,assistant account officer etc) are yet to report vacant position. Vacancies maybe increased upto 9500.
 Now come to cutoff, in my opinion it will increase 5-10 marks from previous year because of easy paper.
 Views are personal don't take it seriously😀😀
"
What rules are to be followed in order to do intraday trading?,"Here your answer:
 [LINKED_TEXT: Intraday Trading or Day Trading] [URL: https://www.vimalsingh.in/intraday-trading-or-day-trading/]
"
"After playing a full-sized bass guitar all night, does the low weight of a ukulele bass seem appealing?","It probably would, but its a different instrument, with a different “feel” and I don’t think you have to “go there”.
 If your bass is too heavy, get a lighter one.
 Epiphone Toby IV weighs only 7 lbs and costs under $300.
 Hofner Ignition bass weights only about 6 lbs.
 You can even find lighter full sized basses, though they may get more spendy.
"
Would you rather make out with a vampire or make out with a mermaid?,"I’d rather make out with a mermaid. I’d worry that if I was necking with a vampire that I’d end up running a few quarts low
"
How do I know if I don’t believe in God?,"In all honesty, if you have to ask, it doesn't really matter. If I were you, I wouldn't waste any more time on the question.
"
"What are some cool, lesser known facts about the Indian Railways?","Indian railway is really boon for lower middle class people in this inflationary world.
 No one take you from one point to another in just Rs 5 except Indian railway. Lets see
20 KM distance fare is just Rs 5 in the year 2023 where whole world is struggling with the inflation.
 Thank you
 Jai Hind
"
Why are spirits/ghosts known to be active in the dark and not at daytime?,"Things can be hidden easily in the night, I suppose. CV Varghese
"
What is sprint planning?,"Sprint planning was created as a part of the Scrum framework and is considered as one of its original events. During this event, all the work for the sprint is planned, and the sprint goal is set. The planning session kicks off the sprint by setting the agenda and focus. Sprint Planning is time-boxed to a maximum of eight hours for a one-month Sprint.
 The event is shorter for shorter sprints, as it is demonstrated in the table below.
"
Would a random number generator be more or less random than me just randomly saying numbers? Why or why not?,"A random number generator will be far more random. You have inbuilt unconscious biases that you cannot escape.
"
A bottle and its cork are worth 11 euros. The bottle is worth 10 more than the cap. How much is the bottle and how much is the cap?,"Bottle 10.5 e the cap 1/2e so bottle is 10e more than the cap.
"
What are the worst things about corporate culture?,"The lack of disconnect between “leaders” and the teams combined with their obsession of controlling their teams through methods like full return to office.
"
Do dogs and cats love snow?,"My 6 year old beagle loves the snow. Especially walking with her snout to the ground and getting snow all over her face.
"
"Without appealing to emotion or using ad hominem attacks, how can I convince conservatives that gun regulation is a good thing?","You can’t, because it’s not. You would also have a hard time convincing a good number of southern Democrats.
"
"What is your favorite sci-fi book series, and why?","Hereby I am attaching a link of 5 Must Read Sci-Fi Books
[LINKED_TEXT: https://www.bookishsanta.com/blogs/booklings-world/5-must-read-sci-fi-books] [URL: https://www.bookishsanta.com/blogs/booklings-world/5-must-read-sci-fi-books]"
How do I cut a half-circle in wood? I want to make a marble track from my wood.,"You may find better results with a different shape for your track. I would think that less contact with the track may improve the speed at which your marble rolls down the track.
Something like this may do you better.
"
English is an almost grammar-less language. — Richard Grant White. What do you make of this statement?,"Yep, that is pretty much so. English is a dumbed down language and that is its strength.
 Quick to get up to speed with to a functional level.
"
How do pet ducks not fly away?,"If your pet duck is a domesticated breed, it may no longer be able to fly. Domesticated ducks, like the big white Pekin duck that is now everywhere, as well as the most common duck owned by humans, often grow too big to be able to fly any more - they have been bred to get big that way.
"
